Algorithm,BestFitness,ConvergenceGen,BestSolution_1,BestSolution_2
GA,0.0198128266274189,200,0.00991175901137265,-0.0012867209955387
PSO,0,72,-1.62721972896652e-10,2.08286901796704e-09
DE,0,91,7.49800184760014e-11,2.05466772464496e-09
